CertificationCourses,Gender,Department,Height(CM),Weight(KG),10Mark,12Mark,CollegeMark,Hobbies,DailyStudingTime,PreferToStudyIn,SalaryExpectation,LikeDegree,CareerBasedonDegree,GamesSpendingTime,TravellingTime ,StressLevel ,FinancialStatus,PartTimeJob?
No,Female,Commerce,160,40,76,63,70,Sports,30 - 60 minute,Night,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,good,Yes
Yes,Male,Commerce,159,80,60,79,50,Cinema,30 - 60 minute,Morning,25000,Yes,0%,More than 2 hour,1.30 - 2 hour,Good,Bad,No
No,Male,Commerce,182,57,83.7,76.77,80,Sports,30 - 60 minute,Night,11000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No
No,Female,Commerce,150,54,76,76,92.8,Sports,3 - 4 hour,Anytime,25000,Yes,100%,1 - 1.30 hour,30 - 60 minutes,Good,Bad,No
Yes,Female,Commerce,154,62,70,50,60,Cinema,1 - 2 Hour,Night,20000,Yes,50%,1 - 1.30 hour,30 - 60 minutes,Bad,Bad,No
Yes,Female,Commerce,165,75,91,70,80,Cinema,1 - 2 Hour,Anytime,10000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,Awful,No
Yes,Female,Commerce,150,40,80,75,70,Cinema,1 - 2 Hour,Morning,120000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
Yes,Female,B.com ISM,149,50,60,60,60,Cinema,30 - 60 minute,Morning,15000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,Bad,No
No,Male,B.com ISM,150,48,60,77,50,Video Games,30 - 60 minute,Night,45000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,Yes
No,Female,B.com ISM,160,50,60,70,65,Sports,0 - 30 minute,Night,5000,Yes,25%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
Yes,Male,B.com ISM,173,92,54,65,2,Cinema,0 - 30 minute,Anytime,23000,Yes,100%,More than 2 hour,1 - 1.30 hour,Good,good,No
No,Male,B.com ISM,150,48,46,48,60,Sports,1 - 2 Hour,Anytime,30000,Yes,50%,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,No
Yes,Male,B.com ISM,163,80,76,47,30,Cinema,0 - 30 minute,Morning,500000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Awful,Awful,No
Yes,Male,B.com ISM,168,48,70,60,50,Sports,30 - 60 minute,Morning,40000,Yes,75%,1 - 30 Minute,more than 3 hour,Bad,Bad,No
Yes,Male,B.com ISM,162,85,56,57,67,Sports,30 - 60 minute,Night,30000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,No
Yes,Male,B.com ISM,170,80,67,70,60,Sports,More Than 4 hour,Anytime,700000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
No,Male,B.com ISM,145,50,75,79,70,Reading books,1 - 2 Hour,Morning,12000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Good,Awful,No
No,Male,B.com ISM,160,52,65,70,65,Video Games,30 - 60 minute,Night,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
No,Male,B.com ISM,180,65,86,86,89,Video Games,30 - 60 minute,Anytime,20000,Yes,50%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
No,Male,B.com ISM,149,35,70,67,65,Video Games,1 - 2 Hour,Anytime,15000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
No,Male,B.com ISM,173,60,60,52,60,Video Games,1 - 2 Hour,Night,20000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,No
No,Female,B.com ISM,149,40,60,60,60,Cinema,30 - 60 minute,Morning,15000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,No
Yes,Male,B.com ISM,170,55,50,50,50,Cinema,30 - 60 minute,Night,10000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,Yes
No,Female,B.com ISM,155,39,45,45,50,Sports,3 - 4 hour,Night,10,No,75%,30 - 60 Minute,30 - 60 minutes,fabulous,good,No
Yes,Male,B.com ISM,153,45,67,54,86,Cinema,30 - 60 minute,Morning,30000,Yes,100%,1 - 30 Minute,30 - 60 minutes,Good,good,No
Yes,Male,B.com ISM,170,65,79,62,60,Cinema,1 - 2 Hour,Morning,25000,Yes,75%,1 - 30 Minute,0 - 30 minutes,Good,good,No
No,Male,B.com ISM,173,75,60,50,55,Sports,1 - 2 Hour,Anytime,20000,Yes,75%,1 - 30 Minute,1.30 - 2 hour,Bad,Bad,No
Yes,Male,B.com ISM,170,60,50,50,50,Reading books,1 - 2 Hour,Anytime,50000,Yes,75%,More than 2 hour,1 - 1.30 hour,Bad,good,Yes
Yes,Male,B.com ISM,120,74,80,70,70,Cinema,1 - 2 Hour,Anytime,15000,Yes,75%,More than 2 hour,30 - 60 minutes,Bad,Bad,Yes
Yes,Female,Commerce,160,68,96,92,80,Cinema,3 - 4 hour,Morning,10000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
No,Male,Commerce,140,86,76,83,70,Cinema,30 - 60 minute,Morning,15000,Yes,50%,More than 2 hour,30 - 60 minutes,Good,Bad,No
Yes,Male,Commerce,165,60,55,50,60,Sports,0 - 30 minute,Morning,13000,Yes,50%,1 - 30 Minute,1 - 1.30 hour,Good,Bad,No
Yes,Male,Commerce,161,55,89,79,70,Sports,30 - 60 minute,Morning,10000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,No
Yes,Female,Commerce,146,39,95.6,86,85,Cinema,1 - 2 Hour,Anytime,13000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,No
Yes,Male,Commerce,155,70,60,60,60,Sports,2 - 3 hour,Night,15000,Yes,50%,More than 2 hour,1 - 1.30 hour,Good,good,Yes
No,Male,Commerce,120,80,81,80,70,Cinema,30 - 60 minute,Night,20000,Yes,50%,More than 2 hour,0 - 30 minutes,Good,Fabulous,Yes
Yes,Male,Commerce,160,70,84,76,70,Video Games,30 - 60 minute,Anytime,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Bad,Bad,Yes
Yes,Female,Commerce,152,32,80,60,70,Sports,1 - 2 Hour,Night,15,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Bad,good,No
No,Male,Commerce,168,75,75,65,75,Cinema,1 - 2 Hour,Morning,22,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
Yes,Female,Commerce,152,64,90.4,80,80,Cinema,1 - 2 Hour,Anytime,15000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,No
No,Male,Commerce,156,45,85,75,70,Sports,More Than 4 hour,Anytime,12000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Good,Bad,Yes
Yes,Female,Commerce,151,55,93.8,83.5,100,Reading books,1 - 2 Hour,Morning,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,good,Yes
No,Female,Commerce,165,62,78,75,90,Sports,2 - 3 hour,Anytime,15000,Yes,100%,30 - 60 Minute,0 - 30 minutes,Good,good,No
Yes,Female,Commerce,160,60,75,85,90,Cinema,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
Yes,Female,Commerce,153,58,85,74,75,Cinema,0 - 30 minute,Anytime,20000,Yes,75%,More than 2 hour,0 - 30 minutes,Awful,good,No
Yes,Male,Commerce,175,75,88,85,90,Sports,30 - 60 minute,Morning,20000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,good,No
No,Male,Commerce,161,54,90,73,80,Cinema,30 - 60 minute,Morning,20000,Yes,100%,30 - 60 Minute,more than 3 hour,Bad,Bad,No
Yes,Male,Commerce,160,60,85,80,80,Cinema,30 - 60 minute,Anytime,20000,Yes,100%,1 - 30 Minute,30 - 60 minutes,Awful,Bad,No
Yes,Female,Commerce,153,45,83,73,75,Cinema,0 - 30 minute,Morning,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,No
Yes,Male,Commerce,160,50,85,80,60,Sports,30 - 60 minute,Night,100,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
Yes,Male,Commerce,170,65,82,73,80,Cinema,0 - 30 minute,Anytime,16000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,fabulous,Bad,No
Yes,Female,Commerce,152,65,97,80,100,Reading books,3 - 4 hour,Morning,15000,Yes,100%,30 - 60 Minute,0 - 30 minutes,Good,good,Yes
Yes,Female,Commerce,164,43,80,89,95,Reading books,2 - 3 hour,Morning,15000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
Yes,Female,Commerce,167,65,93,85,90,Reading books,1 - 2 Hour,Night,15000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
Yes,Male,B.com ISM,167,55,55,57,60,Sports,30 - 60 minute,Anytime,17000,Yes,25%,0 Minute,0 - 30 minutes,Awful,Bad,No
Yes,Male,B.com ISM,155,68,75,75,65,Sports,1 - 2 Hour,Anytime,500,Yes,100%,1.30 - 2 hour,1 - 1.30 hour,Good,good,No
No,Female,B.com ISM,153,60,60,70,70,Sports,1 - 2 Hour,Anytime,15000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
Yes,Male,B.com ISM,170,76,72,67,65,Video Games,30 - 60 minute,Morning,7000,Yes,50%,More than 2 hour,30 - 60 minutes,Bad,Bad,No
Yes,Male,B.com ISM,172,52,72,70,76,Cinema,2 - 3 hour,Anytime,25000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
Yes,Female,BCA,139,33,90,75,70,Cinema,30 - 60 minute,Night,20000,Yes,50%,30 - 60 Minute,2.30 - 3 hour,Bad,good,No
Yes,Female,Commerce,153,58,85,74,75,Cinema,0 - 30 minute,Anytime,20000,Yes,75%,More than 2 hour,2.30 - 3 hour,Awful,good,No
No,Female,B.com ISM,155,39,45,45,50,Sports,3 - 4 hour,Night,10,No,75%,30 - 60 Minute,2.30 - 3 hour,fabulous,good,No
